
####################################################################################################
############################    New Connection @ 13:27:01 | 04-12-15    ############################
####################################################################################################

[LOG: 14:12:18 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 14
[LOG: 14:12:18 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 5
[LOG: 14:12:18 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 15
[LOG: 14:12:18 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 19
[LOG: 14:12:18 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 11
[LOG: 14:12:18 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 9
[LOG: 14:12:18 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 12
[LOG: 14:12:18 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 23
[LOG: 14:12:18 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 6
[LOG: 14:12:18 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 17
[LOG: 14:12:18 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 12
[LOG: 14:12:18 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 20
[LOG: 14:12:18 | 04-12-15] - SubEvent sub20, pub10, /p00-1, 12
[LOG: 14:12:18 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 8
[LOG: 14:12:18 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 20
[LOG: 14:12:18 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 11
[LOG: 14:12:18 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 13
[LOG: 14:12:18 | 04-12-15] - SubEvent sub20, pub10, /p00-1, 13
[LOG: 14:12:18 | 04-12-15] - PubEvent pub00, /p00-0, 27
[LOG: 14:12:18 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 27
[LOG: 14:12:18 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 27
[LOG: 14:12:18 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 27
[LOG: 14:12:18 | 04-12-15] - PubEvent pub10, /p00-1, 27
[LOG: 14:12:18 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 27
[LOG: 14:12:18 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 27
[LOG: 14:12:18 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 27
[LOG: 14:12:18 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 27
[LOG: 14:12:19 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 20
[LOG: 14:12:19 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 18
[LOG: 14:12:19 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 24
[LOG: 14:12:19 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 21
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 21
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 14
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub10, /p00-1, 14
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 22
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub10, /p00-1, 7
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 15
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub10, /p00-1, 15
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 23
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub10, /p00-1, 6
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub10, /p00-1, 8
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 16
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub10, /p00-1, 16
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 24
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 17
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 5
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 6
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 7
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 8
[LOG: 14:12:19 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 9
[LOG: 14:12:19 | 04-12-15] - PubEvent pub00, /p00-0, 28
[LOG: 14:12:19 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 28
[LOG: 14:12:19 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 28
[LOG: 14:12:19 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 28
[LOG: 14:12:19 | 04-12-15] - PubEvent pub10, /p00-1, 28
[LOG: 14:12:19 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 28
[LOG: 14:12:19 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 28
[LOG: 14:12:19 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 28
[LOG: 14:12:19 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 28
[LOG: 14:12:19 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 21
[LOG: 14:12:19 | 04-12-15] - PubEvent pub00, /p00-0, 29
[LOG: 14:12:19 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 29
[LOG: 14:12:19 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 29
[LOG: 14:12:19 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 29
[LOG: 14:12:19 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 29
[LOG: 14:12:19 | 04-12-15] - PubEvent pub10, /p00-1, 29
[LOG: 14:12:19 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 29
[LOG: 14:12:19 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 29
[LOG: 14:12:19 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 29
[LOG: 14:12:20 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 22
[LOG: 14:12:20 | 04-12-15] - PubEvent pub00, /p00-0, 30
[LOG: 14:12:20 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 30
[LOG: 14:12:20 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 30
[LOG: 14:12:20 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 30
[LOG: 14:12:20 | 04-12-15] - PubEvent pub10, /p00-1, 30
[LOG: 14:12:20 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 30
[LOG: 14:12:20 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 30
[LOG: 14:12:20 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 30
[LOG: 14:12:20 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 30
[LOG: 14:12:20 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 23
[LOG: 14:12:20 | 04-12-15] - PubEvent pub00, /p00-0, 31
[LOG: 14:12:20 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 31
[LOG: 14:12:20 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 31
[LOG: 14:12:20 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 31
[LOG: 14:12:20 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 31
[LOG: 14:12:20 | 04-12-15] - PubEvent pub10, /p00-1, 31
[LOG: 14:12:20 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 31
[LOG: 14:12:20 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 31
[LOG: 14:12:20 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 31
[LOG: 14:12:21 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 24
[LOG: 14:12:21 | 04-12-15] - PubEvent pub00, /p00-0, 32
[LOG: 14:12:21 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 32
[LOG: 14:12:21 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 32
[LOG: 14:12:21 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 32
[LOG: 14:12:21 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 32
[LOG: 14:12:21 | 04-12-15] - PubEvent pub10, /p00-1, 32
[LOG: 14:12:21 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 32
[LOG: 14:12:21 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 32
[LOG: 14:12:21 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 32
[LOG: 14:12:21 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 25
[LOG: 14:12:21 | 04-12-15] - PubEvent pub00, /p00-0, 33
[LOG: 14:12:21 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 33
[LOG: 14:12:21 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 33
[LOG: 14:12:21 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 33
[LOG: 14:12:21 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 33
[LOG: 14:12:21 | 04-12-15] - PubEvent pub10, /p00-1, 33
[LOG: 14:12:21 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 33
[LOG: 14:12:21 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 33
[LOG: 14:12:21 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 33
[LOG: 14:12:22 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 26
[LOG: 14:12:22 | 04-12-15] - PubEvent pub00, /p00-0, 34
[LOG: 14:12:22 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 34
[LOG: 14:12:22 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 34
[LOG: 14:12:22 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 34
[LOG: 14:12:22 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 34
[LOG: 14:12:22 | 04-12-15] - PubEvent pub10, /p00-1, 34
[LOG: 14:12:22 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 34
[LOG: 14:12:22 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 34
[LOG: 14:12:22 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 34
[LOG: 14:12:22 | 04-12-15] - PubEvent pub00, /p00-0, 35
[LOG: 14:12:22 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 35
[LOG: 14:12:22 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 27
[LOG: 14:12:22 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 35
[LOG: 14:12:22 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 35
[LOG: 14:12:22 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 35
[LOG: 14:12:22 | 04-12-15] - PubEvent pub10, /p00-1, 35
[LOG: 14:12:22 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 35
[LOG: 14:12:22 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 35
[LOG: 14:12:22 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 35
[LOG: 14:12:23 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 28
[LOG: 14:12:23 | 04-12-15] - PubEvent pub00, /p00-0, 36
[LOG: 14:12:23 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 36
[LOG: 14:12:23 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 36
[LOG: 14:12:23 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 36
[LOG: 14:12:23 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 36
[LOG: 14:12:23 | 04-12-15] - PubEvent pub10, /p00-1, 36
[LOG: 14:12:23 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 36
[LOG: 14:12:23 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 36
[LOG: 14:12:23 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 36
[LOG: 14:12:23 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 29
[LOG: 14:12:23 | 04-12-15] - PubEvent pub00, /p00-0, 37
[LOG: 14:12:23 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 37
[LOG: 14:12:23 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 37
[LOG: 14:12:23 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 37
[LOG: 14:12:23 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 37
[LOG: 14:12:23 | 04-12-15] - PubEvent pub10, /p00-1, 37
[LOG: 14:12:23 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 37
[LOG: 14:12:23 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 37
[LOG: 14:12:23 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 37
[LOG: 14:12:24 | 04-12-15] - PubEvent pub00, /p00-0, 38
[LOG: 14:12:24 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 38
[LOG: 14:12:24 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 30
[LOG: 14:12:24 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 38
[LOG: 14:12:24 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 38
[LOG: 14:12:24 | 04-12-15] - PubEvent pub10, /p00-1, 38
[LOG: 14:12:24 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 38
[LOG: 14:12:24 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 38
[LOG: 14:12:24 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 38
[LOG: 14:12:24 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 38
[LOG: 14:12:24 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 31
[LOG: 14:12:24 | 04-12-15] - PubEvent pub00, /p00-0, 39
[LOG: 14:12:24 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 39
[LOG: 14:12:24 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 39
[LOG: 14:12:24 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 39
[LOG: 14:12:24 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 39
[LOG: 14:12:24 | 04-12-15] - PubEvent pub10, /p00-1, 39
[LOG: 14:12:24 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 39
[LOG: 14:12:24 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 39
[LOG: 14:12:24 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 39
[LOG: 14:12:25 | 04-12-15] - PubEvent pub00, /p00-0, 40
[LOG: 14:12:25 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 40
[LOG: 14:12:25 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 32
[LOG: 14:12:25 | 04-12-15] - PubEvent pub10, /p00-1, 40
[LOG: 14:12:25 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 40
[LOG: 14:12:25 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 40
[LOG: 14:12:25 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 40
[LOG: 14:12:25 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 40
[LOG: 14:12:25 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 40
[LOG: 14:12:25 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 40
[LOG: 14:12:25 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 33
[LOG: 14:12:26 | 04-12-15] - PubEvent pub00, /p00-0, 41
[LOG: 14:12:26 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 41
[LOG: 14:12:26 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 41
[LOG: 14:12:26 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 41
[LOG: 14:12:26 | 04-12-15] - PubEvent pub10, /p00-1, 41
[LOG: 14:12:26 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 41
[LOG: 14:12:26 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 41
[LOG: 14:12:26 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 41
[LOG: 14:12:26 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 41
[LOG: 14:12:26 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 34
[LOG: 14:12:26 | 04-12-15] - PubEvent pub00, /p00-0, 42
[LOG: 14:12:26 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 42
[LOG: 14:12:26 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 42
[LOG: 14:12:26 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 42
[LOG: 14:12:26 | 04-12-15] - PubEvent pub10, /p00-1, 42
[LOG: 14:12:26 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 42
[LOG: 14:12:26 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 42
[LOG: 14:12:26 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 42
[LOG: 14:12:26 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 42
[LOG: 14:12:27 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 35
[LOG: 14:12:27 | 04-12-15] - PubEvent pub00, /p00-0, 43
[LOG: 14:12:27 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 43
[LOG: 14:12:27 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 43
[LOG: 14:12:27 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 43
[LOG: 14:12:27 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 43
[LOG: 14:12:27 | 04-12-15] - PubEvent pub10, /p00-1, 43
[LOG: 14:12:27 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 43
[LOG: 14:12:27 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 43
[LOG: 14:12:27 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 43
[LOG: 14:12:27 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 36
[LOG: 14:12:27 | 04-12-15] - PubEvent pub00, /p00-0, 44
[LOG: 14:12:27 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 44
[LOG: 14:12:27 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 44
[LOG: 14:12:27 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 44
[LOG: 14:12:27 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 44
[LOG: 14:12:27 | 04-12-15] - PubEvent pub10, /p00-1, 44
[LOG: 14:12:27 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 44
[LOG: 14:12:27 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 44
[LOG: 14:12:27 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 44
[LOG: 14:12:28 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 37
[LOG: 14:12:28 | 04-12-15] - PubEvent pub00, /p00-0, 45
[LOG: 14:12:28 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 45
[LOG: 14:12:28 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 45
[LOG: 14:12:28 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 45
[LOG: 14:12:28 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 45
[LOG: 14:12:28 | 04-12-15] - PubEvent pub10, /p00-1, 45
[LOG: 14:12:28 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 45
[LOG: 14:12:28 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 45
[LOG: 14:12:28 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 45
[LOG: 14:12:28 | 04-12-15] - PubEvent pub00, /p00-0, 46
[LOG: 14:12:28 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 46
[LOG: 14:12:28 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 38
[LOG: 14:12:28 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 46
[LOG: 14:12:28 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 46
[LOG: 14:12:28 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 46
[LOG: 14:12:28 | 04-12-15] - PubEvent pub10, /p00-1, 46
[LOG: 14:12:28 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 46
[LOG: 14:12:28 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 46
[LOG: 14:12:28 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 46
[LOG: 14:12:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 39
[LOG: 14:12:29 | 04-12-15] - PubEvent pub00, /p00-0, 47
[LOG: 14:12:29 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 47
[LOG: 14:12:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 47
[LOG: 14:12:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 47
[LOG: 14:12:29 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 47
[LOG: 14:12:29 | 04-12-15] - PubEvent pub10, /p00-1, 47
[LOG: 14:12:29 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 47
[LOG: 14:12:29 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 47
[LOG: 14:12:29 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 47
[LOG: 14:12:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 40
[LOG: 14:12:29 | 04-12-15] - PubEvent pub00, /p00-0, 48
[LOG: 14:12:29 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 48
[LOG: 14:12:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 48
[LOG: 14:12:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 48
[LOG: 14:12:29 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 48
[LOG: 14:12:29 | 04-12-15] - PubEvent pub10, /p00-1, 48
[LOG: 14:12:29 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 48
[LOG: 14:12:29 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 48
[LOG: 14:12:29 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 48
[LOG: 14:12:30 | 04-12-15] - PubEvent pub00, /p00-0, 49
[LOG: 14:12:30 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 49
[LOG: 14:12:30 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 41
[LOG: 14:12:30 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 49
[LOG: 14:12:30 | 04-12-15] - PubEvent pub10, /p00-1, 49
[LOG: 14:12:30 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 49
[LOG: 14:12:30 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 49
[LOG: 14:12:30 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 49
[LOG: 14:12:30 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 49
[LOG: 14:12:30 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 49
[LOG: 14:12:30 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 42
[LOG: 14:12:30 | 04-12-15] - PubEvent pub00, /p00-0, 50
[LOG: 14:12:30 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 50
[LOG: 14:12:30 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 50
[LOG: 14:12:30 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 50
[LOG: 14:12:30 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 50
[LOG: 14:12:30 | 04-12-15] - PubEvent pub10, /p00-1, 50
[LOG: 14:12:30 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 50
[LOG: 14:12:30 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 50
[LOG: 14:12:30 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 50
[LOG: 14:12:31 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 43
[LOG: 14:12:31 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 44
[LOG: 14:12:32 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 45
[LOG: 14:12:32 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 46
[LOG: 14:12:33 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 47
[LOG: 14:12:33 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 48
[LOG: 14:12:34 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 49
[LOG: 14:12:34 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 50

####################################################################################################
############################    New Connection @ 14:14:24 | 04-12-15    ############################
####################################################################################################

[LOG: 14:14:40 | 04-12-15] - Subscriber sub00 subscribe /p00-0
[LOG: 14:14:40 | 04-12-15] - Subscriber sub00 subscribe /p00-1
[LOG: 14:14:40 | 04-12-15] - Subscriber sub20 subscribe /p00-1
[LOG: 14:14:40 | 04-12-15] - Subscriber sub20 subscribe /p00-0
[LOG: 14:14:42 | 04-12-15] - wait 2000
[LOG: 14:14:42 | 04-12-15] - publisher pub00 publish 50 Ontopic /p00-0 Interval 500 
[LOG: 14:14:42 | 04-12-15] - publisher pub10 publish 50 Ontopic /p00-1 Interval 500 
[LOG: 14:14:42 | 04-12-15] - PubEvent pub00, /p00-0, 1
[LOG: 14:14:42 | 04-12-15] - PubEvent pub10, /p00-1, 1
[LOG: 14:14:42 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 1
[LOG: 14:14:42 | 04-12-15] - BroEvent broker00, pub00, /p00-0, 1
[LOG: 14:14:42 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 1
[LOG: 14:14:42 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 1
[LOG: 14:14:43 | 04-12-15] - PubEvent pub00, /p00-0, 2
[LOG: 14:14:43 | 04-12-15] - BroEvent broker00, pub00, /p00-0, 2
[LOG: 14:14:43 | 04-12-15] - PubEvent pub10, /p00-1, 2
[LOG: 14:14:43 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 2
[LOG: 14:14:43 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 2
[LOG: 14:14:43 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 2
[LOG: 14:14:43 | 04-12-15] - PubEvent pub00, /p00-0, 3
[LOG: 14:14:43 | 04-12-15] - BroEvent broker00, pub00, /p00-0, 3
[LOG: 14:14:43 | 04-12-15] - PubEvent pub10, /p00-1, 3
[LOG: 14:14:43 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 1
[LOG: 14:14:43 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 3
[LOG: 14:14:43 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 3
[LOG: 14:14:43 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 1
[LOG: 14:14:43 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 3
[LOG: 14:14:43 | 04-12-15] - BroEvent broker10, pub00, /p00-0, 1
[LOG: 14:14:43 | 04-12-15] - BroEvent broker10, pub00, /p00-0, 3
[LOG: 14:14:43 | 04-12-15] - BroEvent broker20, pub00, /p00-0, 3
[LOG: 14:14:43 | 04-12-15] - BroEvent broker20, pub00, /p00-0, 1
[LOG: 14:14:44 | 04-12-15] - PubEvent pub00, /p00-0, 4
[LOG: 14:14:44 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 2
[LOG: 14:14:44 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 2
[LOG: 14:14:44 | 04-12-15] - BroEvent broker00, pub00, /p00-0, 4
[LOG: 14:14:44 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 3
[LOG: 14:14:44 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 3
[LOG: 14:14:44 | 04-12-15] - BroEvent broker10, pub00, /p00-0, 2
[LOG: 14:14:44 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 4
[LOG: 14:14:44 | 04-12-15] - BroEvent broker20, pub00, /p00-0, 2
[LOG: 14:14:44 | 04-12-15] - BroEvent broker10, pub00, /p00-0, 4
