
####################################################################################################
############################    New Connection @ 13:27:01 | 04-12-15    ############################
####################################################################################################

[LOG: 13:27:21 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 9
[LOG: 13:27:21 | 04-12-15] - BroEvent broker00, pub00, /p00-0, 6
[LOG: 13:27:21 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 9
[LOG: 13:27:21 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 9
[LOG: 13:27:21 | 04-12-15] - unfreeze broker00
[LOG: 13:27:21 | 04-12-15] - BroEvent broker00, pub00, /p00-0, 7
[LOG: 13:27:21 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 3
[LOG: 13:27:21 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 6
[LOG: 13:27:21 | 04-12-15] - BroEvent broker00, pub00, /p00-0, 8
[LOG: 13:27:21 | 04-12-15] - BroEvent broker20, pub00, /p00-0, 3
[LOG: 13:27:21 | 04-12-15] - crash broker00
[LOG: 13:27:21 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 3
[LOG: 13:27:21 | 04-12-15] - SubEvent sub20, pub10, /p00-1, 3
[LOG: 13:27:21 | 04-12-15] - crash broker20
[LOG: 13:27:21 | 04-12-15] - SubEvent sub20, pub00, /p00-0, 4
[LOG: 13:27:21 | 04-12-15] - SubEvent sub20, pub10, /p00-1, 4
[LOG: 13:27:21 | 04-12-15] - PubEvent pub00, /p00-0, 10
[LOG: 13:27:21 | 04-12-15] - PubEvent pub10, /p00-1, 10
[LOG: 13:27:21 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 10
[LOG: 13:27:21 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 10
[LOG: 13:27:21 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 10
[LOG: 13:27:21 | 04-12-15] - PubEvent pub00, /p00-0, 11
[LOG: 13:27:22 | 04-12-15] - PubEvent pub10, /p00-1, 11
[LOG: 13:27:22 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 11
[LOG: 13:27:22 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 11
[LOG: 13:27:22 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 11
[LOG: 13:27:22 | 04-12-15] - PubEvent pub00, /p00-0, 12
[LOG: 13:27:22 | 04-12-15] - PubEvent pub10, /p00-1, 12
[LOG: 13:27:22 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 12
[LOG: 13:27:22 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 12
[LOG: 13:27:22 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 12
[LOG: 13:27:22 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 7
[LOG: 13:27:22 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 5
[LOG: 13:27:22 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 6
[LOG: 13:27:22 | 04-12-15] - BroEvent broker21, pub00, /p00-0, 3
[LOG: 13:27:22 | 04-12-15] - PubEvent pub00, /p00-0, 13
[LOG: 13:27:23 | 04-12-15] - PubEvent pub10, /p00-1, 13
[LOG: 13:27:23 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 13
[LOG: 13:27:23 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 13
[LOG: 13:27:23 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 13
[LOG: 13:27:23 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 8
[LOG: 13:27:23 | 04-12-15] - PubEvent pub00, /p00-0, 14
[LOG: 13:27:23 | 04-12-15] - PubEvent pub10, /p00-1, 14
[LOG: 13:27:23 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 14
[LOG: 13:27:23 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 14
[LOG: 13:27:23 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 14
[LOG: 13:27:23 | 04-12-15] - PubEvent pub00, /p00-0, 15
[LOG: 13:27:24 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 7
[LOG: 13:27:24 | 04-12-15] - PubEvent pub10, /p00-1, 15
[LOG: 13:27:24 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 15
[LOG: 13:27:24 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 15
[LOG: 13:27:24 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 15
[LOG: 13:27:24 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 9
[LOG: 13:27:24 | 04-12-15] - PubEvent pub00, /p00-0, 16
[LOG: 13:27:24 | 04-12-15] - PubEvent pub10, /p00-1, 16
[LOG: 13:27:24 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 16
[LOG: 13:27:24 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 16
[LOG: 13:27:24 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 16
[LOG: 13:27:24 | 04-12-15] - PubEvent pub00, /p00-0, 17
[LOG: 13:27:25 | 04-12-15] - PubEvent pub10, /p00-1, 17
[LOG: 13:27:25 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 17
[LOG: 13:27:25 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 17
[LOG: 13:27:25 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 17
[LOG: 13:27:25 | 04-12-15] - PubEvent pub00, /p00-0, 18
[LOG: 13:27:25 | 04-12-15] - PubEvent pub10, /p00-1, 18
[LOG: 13:27:25 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 18
[LOG: 13:27:25 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 18
[LOG: 13:27:25 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 18
[LOG: 13:27:25 | 04-12-15] - PubEvent pub00, /p00-0, 19
[LOG: 13:27:26 | 04-12-15] - PubEvent pub10, /p00-1, 19
[LOG: 13:27:26 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 19
[LOG: 13:27:26 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 19
[LOG: 13:27:26 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 19
[LOG: 13:27:26 | 04-12-15] - PubEvent pub00, /p00-0, 20
[LOG: 13:27:26 | 04-12-15] - PubEvent pub10, /p00-1, 20
[LOG: 13:27:26 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 20
[LOG: 13:27:26 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 20
[LOG: 13:27:26 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 20
[LOG: 13:27:26 | 04-12-15] - PubEvent pub00, /p00-0, 21
[LOG: 13:27:27 | 04-12-15] - PubEvent pub10, /p00-1, 21
[LOG: 13:27:27 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 21
[LOG: 13:27:27 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 21
[LOG: 13:27:27 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 21
[LOG: 13:27:27 | 04-12-15] - PubEvent pub00, /p00-0, 22
[LOG: 13:27:27 | 04-12-15] - PubEvent pub10, /p00-1, 22
[LOG: 13:27:27 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 22
[LOG: 13:27:27 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 22
[LOG: 13:27:27 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 22
[LOG: 13:27:27 | 04-12-15] - PubEvent pub00, /p00-0, 23
[LOG: 13:27:28 | 04-12-15] - PubEvent pub10, /p00-1, 23
[LOG: 13:27:28 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 23
[LOG: 13:27:28 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 23
[LOG: 13:27:28 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 23
[LOG: 13:27:28 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 17
[LOG: 13:27:28 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 10
[LOG: 13:27:28 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 11
[LOG: 13:27:28 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 20
[LOG: 13:27:28 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 14
[LOG: 13:27:28 | 04-12-15] - PubEvent pub00, /p00-0, 24
[LOG: 13:27:28 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 24
[LOG: 13:27:28 | 04-12-15] - PubEvent pub10, /p00-1, 24
[LOG: 13:27:28 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 24
[LOG: 13:27:28 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 24
[LOG: 13:27:28 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 24
[LOG: 13:27:28 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 18
[LOG: 13:27:28 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 15
[LOG: 13:27:28 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 12
[LOG: 13:27:28 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 21
[LOG: 13:27:29 | 04-12-15] - PubEvent pub00, /p00-0, 25
[LOG: 13:27:29 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 25
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 6
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 8
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 9
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 10
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 11
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 12
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 10
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 12
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 11
[LOG: 13:27:29 | 04-12-15] - PubEvent pub10, /p00-1, 25
[LOG: 13:27:29 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 25
[LOG: 13:27:29 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 25
[LOG: 13:27:29 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 25
[LOG: 13:27:29 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 22
[LOG: 13:27:29 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 19
[LOG: 13:27:29 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 16
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 8
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 6
[LOG: 13:27:29 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 13
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 13
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 13
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 14
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 14
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 7
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 7
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 8
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 9
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 5
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 15
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 15
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 16
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 24
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 16
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 17
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 9
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 5
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 25
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 16
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 22
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 17
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 13
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 19
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 18
[LOG: 13:27:29 | 04-12-15] - PubEvent pub00, /p00-0, 26
[LOG: 13:27:29 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 26
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 26
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 26
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 18
[LOG: 13:27:29 | 04-12-15] - PubEvent pub10, /p00-1, 26
[LOG: 13:27:29 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 26
[LOG: 13:27:29 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 26
[LOG: 13:27:29 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 26
[LOG: 13:27:29 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 23
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 10
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 23
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 17
[LOG: 13:27:29 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 11
[LOG: 13:27:29 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 19
[LOG: 13:27:30 | 04-12-15] - PubEvent pub00, /p00-0, 27
[LOG: 13:27:30 | 04-12-15] - BroEvent broker01, pub00, /p00-0, 27
[LOG: 13:27:30 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 27
[LOG: 13:27:30 | 04-12-15] - SubEvent sub00, pub00, /p00-0, 27
[LOG: 13:27:30 | 04-12-15] - SubEvent sub00, pub10, /p00-1, 19
[LOG: 13:27:30 | 04-12-15] - PubEvent pub10, /p00-1, 27
[LOG: 13:27:30 | 04-12-15] - BroEvent broker12, pub10, /p00-1, 27
[LOG: 13:27:30 | 04-12-15] - BroEvent broker02, pub10, /p00-1, 27
[LOG: 13:27:30 | 04-12-15] - BroEvent broker22, pub10, /p00-1, 27
[LOG: 13:27:30 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 18
[LOG: 13:27:30 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 20
[LOG: 13:27:30 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 21
[LOG: 13:27:30 | 04-12-15] - BroEvent broker11, pub00, /p00-0, 24
